AREA_ID,AREA_NM,ALL_KWRD_RANK_CO,ALL_KWRD_NM,ALL_KWRD_OCCU_RT,ALL_KWRD_CO,PASSNGR_KWRD_RANK_CO,PASSNGR_KWRD_NM,PASSNGR_KWRD_OCCU_RT,PASSNGR_KWRD_CO,LCLS_KWRD_RANK_CO,LCLS_KWRD_NM,LCLS_KWRD_OCCU_RT,LCLS_KWRD_CO
JJ_29,제주특별자치도,28,신화월드,1.00,39,28,풍경,1.10,32,29,회,1.20,9
JJ_30,제주특별자치도,28,풍경,1.00,39,30,재래시장,1.00,31,29,한라산,1.20,9
JJ_31,제주특별자치도,,,,,30,휴식,1.00,31,29,민속촌,1.20,9
JJ_32,제주특별자치도,,,,,,,,,29,5일장,1.20,9
SJ_01,세종특별자치시,1,호수공원,25.90,59,1,호수공원,13.60,16,1,호수공원,39.10,43
SJ_02,세종특별자치시,2,공원,7.50,17,2,공원,8.50,10,2,수목원,10.00,11
SJ_03,세종특별자치시,2,수목원,7.50,17,3,수목원,5.10,6,3,세종,9.10,10
SJ_04,세종특별자치시,4,세종,6.60,15,3,호수,5.10,6,4,공원,6.40,7
SJ_05,세종특별자치시,5,호수,5.70,13,5,세종,4.20,5,4,호수,6.40,7
SJ_06,세종특별자치시,6,맛집,3.90,9,6,맛집,3.40,4,6,맛집,4.50,5
SJ_07,세종특별자치시,7,국립,3.10,7,6,세종시,3.40,4,6,식물원,4.50,5
SJ_08,세종특별자치시,7,금강,3.10,7,8,국립,2.50,3,6,다리,4.50,5
SJ_09,세종특별자치시,7,식물원,3.10,7,8,금강,2.50,3,9,국립,3.60,4
SJ_10,세종특별자치시,7,축제,3.10,7,8,축제,2.50,3,9,금강,3.60,4
SJ_11,세종특별자치시,7,카페,3.10,7,8,카페,2.50,3,9,축제,3.60,4
SJ_12,세종특별자치시,12,다리,2.60,6,8,먹거리,2.50,3,9,카페,3.60,4
SJ_13,세종특별자치시,12,먹거리,2.60,6,8,박물관,2.50,3,13,먹거리,2.70,3
